file,label,r,int,scenario,delay,seed,ill,attackavg,attack0,attack1,attack2,attack3,attack4,peakill,peaktime,vaccinesused,antiviralsused,pop0,pop1,pop2,pop3,pop4
sims/1/Summary0,sims/1/config.la.1.2-het0-1,1.2,1,het0,1,-1,176835,0.0159422,0.0128965,0.0344736,0.0104976,0.0111797,0.00749592,10363,178,1953103,0,727020,2458406,1409561,5214545,1282698
sims/1/Summary1,sims/1/config.la.1.2-het0-10,1.2,1,het0,1,-1,201919,0.0182035,0.0142436,0.0392376,0.0121575,0.0128071,0.0087218,11446,178,1950765,0,725380,2458357,1412708,5212984,1282877
sims/1/Summary10,sims/1/config.la.1.2-het0-19,1.2,1,het0,1,-1,175084,0.0157843,0.0123468,0.0339797,0.0106763,0.0111099,0.0074534,9994,178,1952983,0,725287,2459702,1409947,5214974,1282367
sims/1/Summary100,sims/1/config.la.1.2-het3-7,1.2,1,het3,1,-1,61383,0.00553388,0.00465035,0.0111129,0.00394828,0.00413841,0.00274456,2610,177,2300619,0,724246,2461278,1409474,5212869,1284357
sims/1/Summary10000,sims/1/config.la.1.3-het6-110,1.3,1,het6,1,-1,78890,0.00711219,0.0062838,0.0128321,0.00559467,0.00573061,0.0038801,3582,178,2667008,0,724721,2462651,1408484,5213929,1282440
sims/1/Summary10001,sims/1/config.la.1.3-het5-145,1.3,1,het5,1,-1,158052,0.014249,0.0122521,0.0263546,0.0110069,0.0113261,0.00762415,8469,178,2543467,0,725671,2458659,1409842,5214681,1283290
sims/1/Summary10002,sims/1/config.la.1.3-het6-115,1.3,1,het6,1,-1,72979,0.00657925,0.00585462,0.0117398,0.00514463,0.00533601,0.00372351,3651,175,2667937,0,725752,2460102,1410015,5212692,1283735
sims/1/Summary10003,sims/1/config.la.1.3-het6-108,1.3,1,het6,1,-1,83755,0.00755076,0.00655983,0.0135354,0.00588681,0.00613528,0.00420048,4163,178,2667205,0,724714,2462584,1409421,5213783,1281757
sims/1/Summary10004,sims/1/config.la.1.3-het6-105,1.3,1,het6,1,-1,77789,0.00701285,0.00604331,0.012668,0.00543859,0.0057022,0.00377388,3578,177,2667709,0,724934,2459977,1408270,5216410,1282765
sims/1/Summary10005,sims/1/config.la.1.3-het6-111,1.3,1,het6,1,-1,79637,0.00717949,0.00639301,0.0130422,0.00560254,0.00576823,0.00385016,3827,178,2665599,0,725324,2460624,1409718,5211999,1284623
sims/1/Summary10006,sims/1/config.la.1.3-het6-116,1.3,1,het6,1,-1,86700,0.00781618,0.00688588,0.0139116,0.00620778,0.00637444,0.00427839,4302,178,2668152,0,724671,2460965,1406784,5215360,1284594
sims/1/Summary10007,sims/1/config.la.1.3-het6-106,1.3,1,het6,1,-1,80720,0.00727717,0.00636197,0.0129881,0.00574887,0.00591727,0.00404711,4166,178,2668088,0,727291,2460028,1410363,5213384,1281161
sims/1/Summary10008,sims/1/config.la.1.3-het6-120,1.3,1,het6,1,-1,84118,0.00758349,0.00653428,0.0137762,0.00580286,0.00611416,0.00422736,4551,178,2666442,0,724946,2460553,1409305,5214618,1282833
sims/1/Summary10009,sims/1/config.la.1.3-het6-112,1.3,1,het6,1,-1,80159,0.00722663,0.00623404,0.0129005,0.00572977,0.00586553,0.00408806,4010,178,2665449,0,725372,2459126,1409655,5216235,1281781
sims/1/Summary10010,sims/1/config.la.1.3-het6-104,1.3,1,het6,1,-1,89208,0.00804228,0.0072846,0.0144889,0.00622446,0.00649493,0.00440776,4636,178,2665807,0,724954,2458783,1410563,5212838,1285234
sims/1/Summary10011,sims/1/config.la.1.3-het6-101,1.3,1,het6,1,-1,81268,0.00732651,0.00644508,0.0131946,0.00569921,0.00592513,0.00405744,4109,178,2669024,0,724428,2460105,1409317,5214906,1283568
sims/1/Summary10012,sims/1/config.la.1.3-het6-113,1.3,1,het6,1,-1,82293,0.00741899,0.0063537,0.0134037,0.00584382,0.00597069,0.00415924,3881,175,2667910,0,724460,2461033,1407470,5214643,1284611
sims/1/Summary10013,sims/1/config.la.1.3-het5-142,1.3,1,het5,1,-1,133685,0.0120521,0.0103218,0.0224655,0.00917389,0.00954332,0.00644322,7446,178,2543701,0,724872,2457855,1408890,5217891,1282744
sims/1/Summary10014,sims/1/config.la.1.3-het6-134,1.3,1,het6,1,-1,80448,0.00725256,0.00653731,0.013006,0.00571612,0.00583787,0.00405582,3999,178,2666265,0,725528,2461086,1408823,5214569,1282356
sims/1/Summary10015,sims/1/config.la.1.3-het6-121,1.3,1,het6,1,-1,96930,0.00873848,0.00757438,0.0155884,0.00698718,0.00709892,0.00484624,5034,178,2665827,0,724944,2460992,1406719,5215163,1284501
