"","scenario","r","AgeGroup","AveAttackRate","SDAttackRate","vax"
"1","base","1.2","0-4",0.1280954,0.00567794298041895,""
"2","base","1.2","5-18",0.2875217,0.0110167106912887,""
"3","base","1.2","19-29",0.09359508,0.00432778861822063,""
"4","base","1.2","30-64",0.10296848,0.00447694129656498,""
"5","base","1.2","65+",0.07611133,0.00360284881665422,""
"6","base","1.3","0-4",0.2175152,0.000859866372047297,""
"7","base","1.3","5-18",0.4237998,0.000774881897811257,""
"8","base","1.3","19-29",0.1657525,0.000486388333650299,""
"9","base","1.3","30-64",0.1779794,0.000449734538984449,""
"10","base","1.3","65+",0.1355997,0.00049412977377743,""
"11","base","1.4","0-4",0.2635222,0.000514834342288851,""
"12","base","1.4","5-18",0.4719624,0.000583581889902543,""
"13","base","1.4","19-29",0.2077743,0.000372140967914043,""
"14","base","1.4","30-64",0.2197924,0.000341276753123067,""
"15","base","1.4","65+",0.170416,0.000234970920186589,""
"16","het","1.2","0-4",0.01257517,0.00145988916554191,"0"
"17","het","1.2","5-18",0.03477066,0.00369686705594526,"0"
"18","het","1.2","19-29",0.010627722,0.00113564756456687,"0"
"19","het","1.2","30-64",0.0113317,0.00122055625934335,"0"
"20","het","1.2","65+",0.006530879,0.00070294840424616,"0"
"21","het","1.2","0-4",0.009030295,0.00162727172622187,"1"
"22","het","1.2","5-18",0.024112,0.00418597759589481,"1"
"23","het","1.2","19-29",0.007644072,0.00133520947666399,"1"
"24","het","1.2","30-64",0.008141067,0.00145581841914169,"1"
"25","het","1.2","65+",0.004674011,0.000842509546816335,"1"
"26","het","1.2","0-4",0.0006858838,6.79819742657321e-05,"10"
"27","het","1.2","5-18",0.0009983074,7.80316742941964e-05,"10"
"28","het","1.2","19-29",0.0006487822,4.63893143414156e-05,"10"
"29","het","1.2","30-64",0.0006386058,5.28582569851779e-05,"10"
"30","het","1.2","65+",0.0004008236,2.06142120888586e-05,"10"
"31","het","1.2","0-4",0.0005768006,6.81291366519005e-05,"11"
"32","het","1.2","5-18",0.0007891006,9.0192860589837e-05,"11"
"33","het","1.2","19-29",0.0005610374,5.06437727206196e-05,"11"
"34","het","1.2","30-64",0.0005616878,4.70787567281323e-05,"11"
"35","het","1.2","65+",0.000358145,3.04104915119766e-05,"11"
"36","het","1.2","0-4",0.005915632,0.000699638299548814,"2"
"37","het","1.2","5-18",0.01507227,0.00166150403085745,"2"
"38","het","1.2","19-29",0.005090572,0.000568677492194732,"2"
"39","het","1.2","30-64",0.005393274,0.000582093269277165,"2"
"40","het","1.2","65+",0.003112275,0.000334040878311822,"2"
"41","het","1.2","0-4",0.004668947,0.000415947947065228,"3"
"42","het","1.2","5-18",0.01153216,0.00108912610554415,"3"
"43","het","1.2","19-29",0.003975596,0.00035731305257124,"3"
"44","het","1.2","30-64",0.004208575,0.000394619921703854,"3"
"45","het","1.2","65+",0.002454965,0.000231504789835257,"3"
"46","het","1.2","0-4",0.003196258,0.000423563900014573,"4"
"47","het","1.2","5-18",0.007501541,0.00107406330815325,"4"
"48","het","1.2","19-29",0.002736437,0.00035131209898038,"4"
"49","het","1.2","30-64",0.002901971,0.000380739536441909,"4"
"50","het","1.2","65+",0.001700159,0.000215962772895392,"4"
"51","het","1.2","0-4",0.002287982,0.000208827755275331,"5"
"52","het","1.2","5-18",0.00507279,0.00041521082090909,"5"
"53","het","1.2","19-29",0.002014004,0.000144689581149899,"5"
"54","het","1.2","30-64",0.002105163,0.00015652976685673,"5"
"55","het","1.2","65+",0.001239479,7.77813781555571e-05,"5"
"56","het","1.2","0-4",0.001732283,0.000313486716183211,"6"
"57","het","1.2","5-18",0.003609199,0.000609075141641453,"6"
"58","het","1.2","19-29",0.001540532,0.000211658368488258,"6"
"59","het","1.2","30-64",0.001578379,0.000237186484318423,"6"
"60","het","1.2","65+",0.0009431988,0.000117406447097063,"6"
"61","het","1.2","0-4",0.001376128,9.65726177892401e-05,"7"
"62","het","1.2","5-18",0.002560853,0.000197601292058866,"7"
"63","het","1.2","19-29",0.001194223,9.0460130941758e-05,"7"
"64","het","1.2","30-64",0.001223234,8.31277866633989e-05,"7"
"65","het","1.2","65+",0.0007279123,5.11817640116521e-05,"7"
"66","het","1.2","0-4",0.001072646,5.71370123669607e-05,"8"
"67","het","1.2","5-18",0.001862024,0.000128966089272422,"8"
"68","het","1.2","19-29",0.0009457877,6.15329516186246e-05,"8"
"69","het","1.2","30-64",0.0009633158,5.51640339871309e-05,"8"
"70","het","1.2","65+",0.0005935537,3.95794822184144e-05,"8"
"71","het","1.2","0-4",0.0008185834,7.15766852158501e-05,"9"
"72","het","1.2","5-18",0.001310877,0.000110489504383398,"9"
"73","het","1.2","19-29",0.0007781652,5.55211590372935e-05,"9"
"74","het","1.2","30-64",0.0007673603,6.33278676396805e-05,"9"
"75","het","1.2","65+",0.0004788175,3.973847252908e-05,"9"
"76","het","1.3","0-4",0.06374343,0.0047715227036264,"0"
"77","het","1.3","5-18",0.1627225,0.0116202978566721,"0"
"78","het","1.3","19-29",0.0550081,0.00425886793878373,"0"
"79","het","1.3","30-64",0.05793601,0.00434662342858096,"0"
"80","het","1.3","65+",0.03416968,0.00258100641516272,"0"
"81","het","1.3","0-4",0.05095125,0.00318113109801809,"1"
"82","het","1.3","5-18",0.1276659,0.00784948839734157,"1"
"83","het","1.3","19-29",0.04404017,0.00283026542966085,"1"
"84","het","1.3","30-64",0.04642787,0.00299943328352763,"1"
"85","het","1.3","65+",0.02729182,0.00187238897953034,"1"
"86","het","1.3","0-4",0.001558089,0.000124477438245741,"10"
"87","het","1.3","5-18",0.002392756,0.00022651363276118,"10"
"88","het","1.3","19-29",0.001438006,0.000135767074899133,"10"
"89","het","1.3","30-64",0.001450651,0.000131139126329423,"10"
"90","het","1.3","65+",0.0008714035,7.21786464363865e-05,"10"
"91","het","1.3","0-4",0.0011939318,0.000131619034106267,"11"
"92","het","1.3","5-18",0.001638957,0.00016149464704235,"11"
"93","het","1.3","19-29",0.0011225144,7.78662405113909e-05,"11"
"94","het","1.3","30-64",0.0011051721,7.21445355880202e-05,"11"
"95","het","1.3","65+",0.0006708164,6.15455273186714e-05,"11"
"96","het","1.3","0-4",0.03265205,0.00216148337709186,"2"
"97","het","1.3","5-18",0.07954954,0.00524513890700502,"2"
"98","het","1.3","19-29",0.02856641,0.00192982453862751,"2"
"99","het","1.3","30-64",0.02994925,0.00210185100235747,"2"
"100","het","1.3","65+",0.01747137,0.00131328485870778,"2"
"101","het","1.3","0-4",0.02526413,0.0029236595690447,"3"
"102","het","1.3","5-18",0.05954519,0.00659700973176484,"3"
"103","het","1.3","19-29",0.02213507,0.00255024033335858,"3"
"104","het","1.3","30-64",0.02313227,0.00261109557638168,"3"
"105","het","1.3","65+",0.01346231,0.00147919483161918,"3"
"106","het","1.3","0-4",0.01574315,0.001574283538806,"4"
"107","het","1.3","5-18",0.03601617,0.00341558524253165,"4"
"108","het","1.3","19-29",0.01400157,0.00133126447080294,"4"
"109","het","1.3","30-64",0.01456742,0.00141435444229671,"4"
"110","het","1.3","65+",0.008443282,0.000778611231271565,"4"
"111","het","1.3","0-4",0.011078587,0.00146005599524318,"5"
"112","het","1.3","5-18",0.02401933,0.00301921722270672,"5"
"113","het","1.3","19-29",0.009922501,0.00123858934388593,"5"
"114","het","1.3","30-64",0.010272013,0.00130744487554968,"5"
"115","het","1.3","65+",0.005937885,0.000745821578115928,"5"
"116","het","1.3","0-4",0.006836957,0.000851321229697959,"6"
"117","het","1.3","5-18",0.01413752,0.00183598536837549,"6"
"118","het","1.3","19-29",0.006173923,0.000775678643927726,"6"
"119","het","1.3","30-64",0.006338423,0.000814595984482151,"6"
"120","het","1.3","65+",0.003690728,0.000471051773181863,"6"
"121","het","1.3","0-4",0.004591666,0.000512627643252553,"7"
"122","het","1.3","5-18",0.008863586,0.000971908952299546,"7"
"123","het","1.3","19-29",0.004128335,0.000404842529393288,"7"
"124","het","1.3","30-64",0.004246929,0.000418845041631018,"7"
"125","het","1.3","65+",0.002476739,0.000240093853058896,"7"
"126","het","1.3","0-4",0.003056052,0.000424365784221322,"8"
"127","het","1.3","5-18",0.005673002,0.000836543245940632,"8"
"128","het","1.3","19-29",0.002803344,0.000450490214993006,"8"
"129","het","1.3","30-64",0.002846806,0.000424484335850243,"8"
"130","het","1.3","65+",0.001693964,0.000255416813341992,"8"
"131","het","1.3","0-4",0.002164029,0.000192483718760257,"9"
"132","het","1.3","5-18",0.003620715,0.000313349597707311,"9"
"133","het","1.3","19-29",0.001967746,0.000145088885262334,"9"
"134","het","1.3","30-64",0.001975011,0.000138162700019458,"9"
"135","het","1.3","65+",0.001186898,8.12163696964268e-05,"9"
"136","het","1.4","0-4",0.1554103,0.00262930692388698,"0"
"137","het","1.4","5-18",0.3422616,0.00446177767761286,"0"
"138","het","1.4","19-29",0.1377998,0.00237159293865256,"0"
"139","het","1.4","30-64",0.141991,0.00235434189908301,"0"
"140","het","1.4","65+",0.08691014,0.00155082377048816,"0"
"141","het","1.4","0-4",0.1424336,0.00275141875321725,"1"
"142","het","1.4","5-18",0.3097928,0.00460018542621442,"1"
"143","het","1.4","19-29",0.1263373,0.00250501758920416,"1"
"144","het","1.4","30-64",0.1302192,0.00249104974748487,"1"
"145","het","1.4","65+",0.07936824,0.00162056605487781,"1"
"146","het","1.4","0-4",0.005146847,0.000822570311443209,"10"
"147","het","1.4","5-18",0.00806009,0.00131953227452424,"10"
"148","het","1.4","19-29",0.004898057,0.000757948466484071,"10"
"149","het","1.4","30-64",0.00492837,0.000772118476185272,"10"
