r,scenario,attack0,attack1,attack2,attack3,attack4
1.2,base,0.124699000,0.280922000,0.091234700,0.100745000,0.074117800
1.2,base,0.125316000,0.280589000,0.090910400,0.099993400,0.073834200
1.2,base,0.137150000,0.305208000,0.100910000,0.110202000,0.081843700
1.2,base,0.136256000,0.303180000,0.099446300,0.109474000,0.081495700
1.2,base,0.121542000,0.274954000,0.088351500,0.097926500,0.072325400
1.2,base,0.123267000,0.278906000,0.089855700,0.098835600,0.072487200
1.2,base,0.122583000,0.276344000,0.089842700,0.098922300,0.072857500
1.2,base,0.130777000,0.293433000,0.095718600,0.105217000,0.077895000
1.2,base,0.127090000,0.287058000,0.093279300,0.102594000,0.076008500
1.2,base,0.132274000,0.294623000,0.096401600,0.105775000,0.078248300
1.2,het0,0.011764500,0.032018700,0.009904500,0.010581600,0.006106660
1.2,het0,0.011911000,0.033686300,0.010264700,0.011016000,0.006335760
1.2,het0,0.011786700,0.032497600,0.009977700,0.010521100,0.006023900
1.2,het0,0.013531200,0.037387700,0.011380800,0.012180000,0.007007700
1.2,het0,0.012835000,0.035929400,0.011011400,0.011690600,0.006782230
1.2,het0,0.011773600,0.032709400,0.009944140,0.010618500,0.006055170
1.2,het0,0.013321700,0.036147100,0.011151600,0.011805100,0.006901750
1.2,het0,0.011883200,0.032701500,0.009938150,0.010658500,0.006142730
1.2,het0,0.016040600,0.043540500,0.013294900,0.014220700,0.008153320
1.2,het0,0.010904200,0.031088400,0.009409330,0.010024900,0.005799570
1.2,het1,0.008368410,0.022521100,0.007129170,0.007616580,0.004336170
1.2,het1,0.010597200,0.027918200,0.008902050,0.009486510,0.005469740
1.2,het1,0.009854010,0.026529500,0.008445410,0.008965490,0.005157950
1.2,het1,0.007496120,0.020245100,0.006474730,0.006808800,0.003979800
1.2,het1,0.010340400,0.027926000,0.008757920,0.009345440,0.005531970
1.2,het1,0.007123560,0.018990900,0.006001750,0.006407770,0.003655770
1.2,het1,0.007886590,0.021153900,0.006680780,0.007028820,0.004009610
1.2,het1,0.008016610,0.021304800,0.006708180,0.007187790,0.003992660
1.2,het1,0.008446750,0.022650200,0.007197330,0.007648970,0.004450410
1.2,het1,0.012173300,0.031880300,0.010143400,0.010914500,0.006156030
1.2,het10,0.000581827,0.000864381,0.000561168,0.000556712,0.000366415
1.2,het10,0.000714108,0.001006770,0.000686625,0.000694612,0.000423267
1.2,het10,0.000589450,0.001000580,0.000588224,0.000577089,0.000372601
1.2,het10,0.000691717,0.000954207,0.000693645,0.000665391,0.000408665
1.2,het10,0.000704459,0.001010340,0.000679035,0.000673146,0.000415715
1.2,het10,0.000786143,0.001053970,0.000683483,0.000667041,0.000403605
1.2,het10,0.000638372,0.001001550,0.000670205,0.000643899,0.000396976
1.2,het10,0.000661377,0.000892626,0.000613704,0.000559960,0.000382292
1.2,het10,0.000756345,0.001101700,0.000637560,0.000668364,0.000417820
1.2,het10,0.000735040,0.001096950,0.000674173,0.000679844,0.000420880
1.2,het11,0.000453908,0.000648794,0.000468231,0.000466004,0.000310283
1.2,het11,0.000616082,0.000833303,0.000618464,0.000595612,0.000396966
1.2,het11,0.000611671,0.000827213,0.000551979,0.000589694,0.000374506
1.2,het11,0.000678498,0.000899830,0.000630884,0.000592011,0.000363983
1.2,het11,0.000645179,0.000828602,0.000547884,0.000582776,0.000366364
1.2,het11,0.000577056,0.000808024,0.000571884,0.000598377,0.000395986
1.2,het11,0.000491740,0.000720744,0.000581118,0.000537021,0.000333195
1.2,het11,0.000547542,0.000682170,0.000539554,0.000521431,0.000345281
1.2,het11,0.000592873,0.000915445,0.000599284,0.000610918,0.000376658
